market,model_family,latest_week_start,recent_spend,recent_sessions,recent_dcfs,recent_cpl_dcfs,recent_visit_to_lead_rate,dcfs_trend_vs_previous_4w,spend_trend_vs_previous_4w,performance_bucket,performance_direction,performance_reason
PCA,Cayenne,2025-12-29,74506.86,90970,28,2660.96,0.0003,0.5556,0.6076,Fix,Review setup before scaling,"PCA / Cayenne: there is some demand signal, but conversion or efficiency is not strong enough to scale yet."
PCGB,Macan,2025-12-29,31984.16,20771,19,1683.38,0.0009,-0.6415,-0.5158,Fix,Review setup before scaling,"PCGB / Macan: there is some demand signal, but conversion or efficiency is not strong enough to scale yet."
PCL,Cayenne,2025-12-29,40648.06,56488,22,1847.64,0.0004,0.6923,0.3211,Fix,Review setup before scaling,"PCL / Cayenne: there is some demand signal, but conversion or efficiency is not strong enough to scale yet."
PCL,Macan,2025-12-29,33062.62,18931,5,6612.52,0.0003,-0.375,-0.2994,Fix,Review setup before scaling,"PCL / Macan: there is some demand signal, but conversion or efficiency is not strong enough to scale yet."
PD,Cayenne,2025-12-29,81903.6,58609,57,1436.91,0.001,0.0755,-0.0923,Fix,Review setup before scaling,"PD / Cayenne: there is some demand signal, but conversion or efficiency is not strong enough to scale yet."
PD,Macan,2025-12-29,73471.22,33028,24,3061.3,0.0007,-0.4146,-0.1136,Fix,Review setup before scaling,"PD / Macan: there is some demand signal, but conversion or efficiency is not strong enough to scale yet."
PIB SPA,Macan,2025-12-29,49805.91,33413,16,3112.87,0.0005,0.7778,0.369,Fix,Review setup before scaling,"PIB SPA / Macan: there is some demand signal, but conversion or efficiency is not strong enough to scale yet."
PNO,Macan,2025-12-29,24074.21,8986,3,8024.74,0.0003,-0.7273,-0.0221,Fix,Review setup before scaling,"PNO / Macan: there is some demand signal, but conversion or efficiency is not strong enough to scale yet."
POF,Macan,2025-12-29,72990.43,62037,36,2027.51,0.0006,0.44,0.2447,Fix,Review setup before scaling,"POF / Macan: there is some demand signal, but conversion or efficiency is not strong enough to scale yet."
PPL,Cayenne,2025-12-29,48775.41,36653,11,4434.13,0.0003,0.2222,0.9314,Fix,Review setup before scaling,"PPL / Cayenne: there is some demand signal, but conversion or efficiency is not strong enough to scale yet."
PTW,Macan,2025-12-29,24594.84,5742,1,24594.84,0.0002,0.0,0.1263,Fix,Keep budget modest and fix conversion,"PTW / Macan: there is some demand signal, but conversion or efficiency is not strong enough to scale yet."
GREC,Macan,2025-12-29,2537.38,1661,0,,0.0,,-0.2887,Reduce,Reduce flexible budget,"GREC / Macan: recent spend is not translating into enough dealer contact forms, so flexible budget should be challenged."
PCA,Macan,2025-12-29,52118.25,59906,8,6514.78,0.0001,-0.4667,0.2882,Reduce,Reduce flexible budget,"PCA / Macan: recent spend is not translating into enough dealer contact forms, so flexible budget should be challenged."
PCH,Macan,2025-12-29,37867.76,22753,7,5409.68,0.0003,-0.5,0.4764,Reduce,Reduce flexible budget,"PCH / Macan: recent spend is not translating into enough dealer contact forms, so flexible budget should be challenged."
PIB SPA,Cayenne,2025-12-29,51921.52,50047,12,4326.79,0.0002,-0.0769,0.2627,Reduce,Reduce flexible budget,"PIB SPA / Cayenne: recent spend is not translating into enough dealer contact forms, so flexible budget should be challenged."
PIT,Cayenne,2025-12-29,40001.57,42649,18,2222.31,0.0004,-0.25,0.4262,Reduce,Reduce flexible budget,"PIT / Cayenne: recent spend is not translating into enough dealer contact forms, so flexible budget should be challenged."
PTW,Cayenne,2025-12-29,29229.03,3356,0,,0.0,,0.413,Reduce,Reduce flexible budget,"PTW / Cayenne: recent spend is not translating into enough dealer contact forms, so flexible budget should be challenged."
PCGB,Cayenne,2025-12-29,96706.43,101864,78,1239.83,0.0008,0.625,1.3555,Scale,Increase budget,PCGB / Cayenne: recent spend is producing dealer contact forms efficiently and response is growing.
PCNA,Cayenne,2025-12-29,224264.46,58844,235,954.32,0.004,0.7029,0.5882,Scale,Increase budget,PCNA / Cayenne: recent spend is producing dealer contact forms efficiently and response is growing.
PIB POR,Macan,2025-12-29,8503.67,10097,10,850.37,0.001,0.1111,0.6581,Scale,Increase budget,PIB POR / Macan: recent spend is producing dealer contact forms efficiently and response is stable.
PIT,Macan,2025-12-29,29368.53,25598,38,772.86,0.0015,-0.3448,0.1568,Scale,Increase budget,PIT / Macan: recent spend is producing dealer contact forms efficiently and response is falling.
PKO,Cayenne,2025-12-29,59946.29,28160,44,1362.42,0.0016,-0.0638,1.4129,Scale,Increase budget,PKO / Cayenne: recent spend is producing dealer contact forms efficiently and response is stable.
TRK,Macan,2025-12-29,40047.8,105100,88,455.09,0.0008,0.6,2.1778,Scale,Increase budget,TRK / Macan: recent spend is producing dealer contact forms efficiently and response is growing.
CZ,Macan,2025-12-29,961.17,2192,1,961.17,0.0005,0.0,-0.8153,Watch,Keep small test budget,"CZ / Macan: recent evidence is limited, so keep this on watch rather than making a large move."
